"Filename (anonymized)","Percent agreement (ReCal2)","Percent agreement (PRAM)","Scott's π (ReCal2)","Scott's π (PRAM)","Cohen's κ (ReCal2)","Cohen's κ (ReCal2)","Krippendorff's α (ReCal2)","Krippendorff's α (Hayes)"
"R2.01",100,100,1,1,1,1,1,1
"R2.02",88,88,0.185,0.19,0.202,0.2,0.193,0.1929
"R2.03",92,92,0.832,0.83,0.83,0.83,0.833,0.8334
"R2.04",94,94,0.805,0.81,0.81,0.81,0.807,0.807
"R2.05",100,100,1,1,1,1,1,1
"R2.06",95,95,0.9,0.9,0.9,0.9,0.902,0.9023
"R2.07",96.7,97,0.913,0.91,0.91,0.91,0.914,0.9144
"R2.08",88,88,0.791,0.79,0.79,0.79,0.793,0.7928
"R2.09",100,100,1,1,1,1,1,1
"R2.10",95,95,0.886,0.89,0.89,0.89,0.889,0.8889
