"Filename (anonymized)","Mean pairwise percent agreement (ReCal3)","Mean pairwise percent agreement (PRAM)","Fleiss' κ (ReCal3)","Fleiss' κ (irr)","Mean pairwise Cohen's κ (ReCal3)","Mean pairwise Cohen's κ (PRAM)","Krippendorff's α (ReCal3)","Krippendorff's α (Hayes)"
"R3.01",90,90,0.628,0.628,0.644,0.64,0.635,0.6354
"R3.02",86.667,87,0.337,0.337,0.335,0.34,0.341,0.341
"R3.03",97.619,98,-0.012,-0.012,NA,0,0,0
"R3.04",33.333,33,-0.042,-0.0417,0.165,0.17,0.028,0.0278
"R3.05",91.453,92,0.862,0.862,0.862,0.86,0.863,0.8628
"R3.06",86.667,87,0.718,0.718,0.729,0.73,0.723,0.7227
"R3.07",79.333,79,0.698,0.698,0.703,0.7,0.7,0.7002
"R3.08",98.667,99,0.743,0.743,0.772,0.77,0.745,0.7449
"R3.09",96,96,-0.014,-0.0135,NA,0,-0.007,-0.0068
"R3.10",80,80,0.743,0.743,0.743,0.74,0.746,0.7462
